threshold,F1_measure,accuracy,True Positive Rate / Recall,False Positive Rate,Positive Predictive Value / Precision
0.48,0.7081069930550781,0.9037196643229757,0.6541735484690636,0.04204975289212844,0.7717326139088729
0.49,0.706972883231876,0.903923792243139,0.6492186507432347,0.04072448162566609,0.7760060744115413
0.17,0.7049938347718865,0.8697663869358131,0.8716808537669928,0.13064965901874706,0.5918226516001035
0.5,0.7048347826086958,0.903765026083012,0.6436285097192225,0.03970291835776802,0.7789052890528906
0.16,0.7017169562125367,0.8668178725334543,0.8775250921102782,0.1355089869957757,0.584595852729581
0.51,0.7016095171448565,0.903288727602631,0.6368949307584805,0.03881940418012645,0.7809627667861038
0.52,0.6998521439132578,0.9033114084826491,0.631431838394105,0.037604572185869295,0.7849020846493999
0.15,0.6978774650007527,0.8634384214107508,0.8834963791132003,0.14092051133383032,0.5767125559794327
0.53,0.6975854988316931,0.903129961442504,0.6258416973700928,0.03661061873602253,0.7879078694817658
0.14,0.6945299315000497,0.8604218643683375,0.8888324228179393,0.14575222949280764,0.569938900203666
0.54,0.6936449130806498,0.9024722159219778,0.6184728751111676,0.03580993401253486,0.7896188158961882
0.55,0.6911279919736276,0.9022454071217964,0.6126286367678822,0.034815980562688094,0.7927009699161598
0.13,0.6904866931333627,0.8567702426854162,0.8949307584804981,0.15152268146552914,0.5620810724545164
0.56,0.6888008642419877,0.9019959174415967,0.6075466903824165,0.03401529583920042,0.7951446624542734
0.5700000000000001,0.6855072463768115,0.901564980721252,0.6009401600813111,0.03310417184350755,0.7977736549165121
0.12,0.6848692794664863,0.8520979814016784,0.9002668021852369,0.1583699163422513,0.5526438933083763
0.58,0.683086788603075,0.9013608528010887,0.5954770677169355,0.032165438029763384,0.8009227614490773
0.59,0.6805240430359365,0.9009979587207984,0.5906492186507433,0.0315580220326348,0.8026588397790055
0.11,0.6786955486788859,0.8469267407575414,0.9056028458899759,0.16582456721610206,0.542713567839196
0.6,0.6783273315205409,0.9007257881605806,0.5863295642230975,0.030950606035506225,0.8045676429567643
0.61,0.6761518614080354,0.9003628940802904,0.5826451530936348,0.030591678400839338,0.8054092026694767
0.62,0.6736219015908249,0.8999546382399637,0.578325498665989,0.030149921312018553,0.8065201984408221
0.1,0.6717742688965711,0.8406441369925153,0.9134798627874476,0.17518429553549242,0.5312153675655708
0.63,0.6712715389185978,0.8996144250396916,0.57413289289798,0.02965294458709517,0.8079742535311997
0.64,0.6685070506602999,0.8992288500793831,0.569177995172151,0.02904552858996659,0.8098336948662328
0.65,0.6661668790763925,0.8990020412792016,0.5644771947655952,0.02830006350258152,0.812545720555962
0.09,0.6645874420951244,0.8341347244273077,0.9204675390674628,0.1846268533090367,0.5200258397932817
0.66,0.6644088206517648,0.8988659559990928,0.5607927836361326,0.02766503768740164,0.8149926144756278
0.67,0.6602044680045438,0.8982308913585847,0.5538051073561174,0.026919572600016567,0.8172103487064117
0.68,0.6560524110611716,0.8975958267180767,0.5470715283953754,0.02622932714873409,0.8192541856925418
0.6900000000000001,0.6536577900214264,0.897346337037877,0.542624825308093,0.025566691515502914,0.8218202809313065
0.08,0.6531414782375546,0.8239510092991608,0.9284716046245712,0.1987630801513018,0.5037568070586613
0.7000000000000001,0.6502538852131097,0.8968927194375141,0.5369076356244442,0.024876446064220438,0.8242637019699629
0.71,0.647473105796765,0.8966885915173509,0.5314445432600686,0.023937712250476268,0.8283168316831683
0.72,0.6434132668950482,0.8961215695168973,0.5249650616185999,0.023219856981142494,0.8308867886587573
0.73,0.6397496087636932,0.8955772283964618,0.5193749205945877,0.022667660620116513,0.832756162151151
0.07,0.6386322424661083,0.8101610342481288,0.9396518866725956,0.21797951351500594,0.4836832123471323
0.74,0.6360201511335013,0.8951236107960989,0.513276584932029,0.02189458571468014,0.8359197186012829
0.75,0.6329033789665268,0.8947833975958267,0.5080675898869267,0.021176730445346365,0.8390684011749895
0.76,0.6285169289461134,0.8939895667951917,0.5023504002032778,0.020900632264833376,0.8393122479303757
0.77,0.6246803069053708,0.8934905874347925,0.49650616185999236,0.0202379966316022,0.8420599008834303
0.78,0.6210830789008517,0.8930369698344296,0.4910430694956168,0.01960297081642232,0.8448087431693989
